nct_id,start_date,registration_date,has_prospective_registration
NCT02478957,2015-06-30,2015-06-19,TRUE
NCT02478034,2015-05-31,2015-06-11,FALSE
NCT02478021,2014-09-30,2015-06-11,FALSE
NCT02470026,2014-06-30,2015-05-31,FALSE
NCT02470013,2014-11-30,2015-01-14,FALSE
NCT02456948,2015-01-31,2015-05-27,FALSE
NCT02453906,2015-05-31,2015-04-29,TRUE
NCT02453867,2017-12-31,2015-04-03,TRUE
NCT02433470,2015-04-30,2015-04-25,TRUE
NCT02422563,2015-10-31,2015-02-11,TRUE
NCT02421172,2015-04-13,2015-03-18,TRUE
NCT02400229,2015-10-03,2015-01-15,TRUE
NCT02398877,2013-02-28,2015-03-09,FALSE
NCT02395874,2015-05-31,2015-03-11,TRUE
NCT02387697,2015-01-31,2015-02-27,FALSE
NCT02379000,2015-01-31,2015-02-23,FALSE
NCT02372435,2015-05-31,2015-01-23,TRUE
NCT02371434,2015-02-28,2015-02-18,TRUE
NCT02364219,2015-02-28,2015-01-20,TRUE
NCT02358265,2014-12-31,2014-12-18,TRUE
NCT02357706,2015-01-31,2015-01-27,TRUE
NCT02345278,2015-05-31,2015-01-19,TRUE
NCT02340299,2015-01-01,2015-01-10,TRUE
NCT02339597,2014-01-31,2014-01-27,TRUE
NCT02338388,2012-01-31,2015-01-12,FALSE
NCT02314572,2013-03-31,2014-12-08,FALSE
NCT02299089,2015-01-31,2014-11-17,TRUE
NCT02296372,2014-11-30,2014-11-04,TRUE
NCT02295735,2015-06-30,2014-11-10,TRUE
NCT02290028,2014-12-16,2014-11-10,TRUE
NCT02253056,2014-09-30,2014-09-19,TRUE
NCT02251535,2014-07-31,2014-09-23,FALSE
NCT02232828,2014-10-31,2014-08-29,TRUE
NCT02227641,2014-10-31,2014-08-26,TRUE
NCT02223091,2014-09-30,2014-07-02,TRUE
NCT02216526,2014-09-30,2014-08-11,TRUE
NCT02213367,2014-07-31,2014-08-08,FALSE
NCT02204293,2012-06-21,2014-07-29,FALSE
NCT02204267,2014-12-31,2014-07-29,TRUE
NCT02171416,2015-01-31,2014-06-13,TRUE
NCT02169115,2012-12-31,2014-06-12,FALSE
NCT02158988,2014-03-31,2014-05-04,FALSE
NCT02129413,2014-05-31,2014-04-24,TRUE
NCT02113800,2015-08-31,2014-04-08,TRUE
NCT02110407,2014-03-31,2014-02-13,TRUE
NCT02110056,2014-03-31,2014-02-13,TRUE
NCT02110043,2014-03-31,2014-02-13,TRUE
NCT02102594,2014-10-31,2014-03-25,TRUE
NCT02096913,2013-06-30,2014-03-24,FALSE
NCT02096068,2014-07-31,2014-03-21,TRUE
NCT02094287,2010-09-30,2014-03-17,FALSE
NCT02092974,2014-04-30,2014-03-19,TRUE
NCT02090686,2014-03-31,2014-03-17,TRUE
NCT02078947,2014-07-28,2014-02-25,TRUE
NCT02071615,2013-08-31,2014-02-15,FALSE
NCT02052960,2014-02-28,2014-01-27,TRUE
NCT02048137,2014-01-31,2014-01-11,TRUE
NCT02022592,2014-07-17,2013-12-12,TRUE
NCT02020044,2012-09-30,2013-12-11,FALSE
NCT02019498,2014-04-30,2013-12-18,TRUE
NCT02019134,2014-03-31,2013-12-18,TRUE
NCT01984788,2013-11-30,2013-11-05,TRUE
NCT01974011,2013-11-25,2013-10-28,TRUE
NCT01969097,2012-05-31,2013-10-07,FALSE
NCT01966783,2013-09-30,2013-10-09,FALSE
NCT01963793,2013-10-31,2013-09-18,TRUE
NCT01954836,2013-10-31,2013-09-29,TRUE
NCT01953549,2013-10-31,2013-06-28,TRUE
NCT01933191,2011-08-31,2013-07-26,FALSE
NCT01928823,2011-11-30,2013-07-26,FALSE
NCT01928810,2011-03-31,2013-07-26,FALSE
NCT01924702,2011-01-31,2013-08-14,FALSE
NCT01923493,2013-08-31,2013-08-13,TRUE
NCT01914965,2012-06-30,2013-07-31,FALSE
NCT01893073,2013-06-30,2013-07-02,FALSE
NCT01888055,2013-05-31,2013-06-25,FALSE
NCT01888029,2013-05-31,2013-06-25,FALSE
NCT01887899,2013-05-31,2013-06-25,FALSE
NCT01878630,2013-08-08,2013-06-12,TRUE
NCT01865604,2012-04-30,2012-12-18,FALSE
NCT01865578,2012-04-30,2013-05-21,FALSE
NCT01864707,2013-04-30,2013-04-02,TRUE
NCT01845142,2013-02-28,2013-04-24,FALSE
NCT01845129,2013-04-30,2013-04-30,TRUE
NCT01840865,2013-10-31,2013-04-18,TRUE
NCT01840839,2013-10-31,2013-04-18,TRUE
NCT01836588,2013-03-31,2013-03-13,TRUE
NCT01832740,2013-01-31,2013-03-08,FALSE
NCT01829347,2014-04-30,2013-04-08,TRUE
NCT01815528,2013-03-31,2013-03-14,TRUE
NCT01811589,2013-05-31,2013-03-13,TRUE
NCT01802814,2014-05-31,2013-02-18,TRUE
NCT01801787,2013-03-31,2013-02-26,TRUE
NCT01801280,2012-01-31,2013-02-13,FALSE
NCT01797887,2013-05-31,2013-02-21,TRUE
NCT01791790,2013-01-31,2013-02-13,FALSE
NCT01788800,2009-01-31,2013-02-04,FALSE
NCT01785082,2013-01-31,2013-01-25,TRUE
NCT01782391,2013-04-30,2012-06-05,TRUE
NCT01782365,2013-04-30,2013-01-31,TRUE
NCT01771211,2012-12-31,2013-01-14,FALSE
NCT01770080,2013-02-28,2013-01-09,TRUE
NCT01753050,2012-12-31,2012-12-17,TRUE
NCT01741584,2010-12-31,2012-12-03,FALSE
NCT01740544,2012-10-31,2012-07-27,TRUE
NCT01731249,2010-11-30,2012-11-15,FALSE
NCT01727375,2013-07-31,2012-07-04,TRUE
NCT01727362,2012-10-31,2012-11-07,FALSE
NCT01716832,2011-03-31,2012-10-24,FALSE
NCT01703273,2012-07-31,2012-08-07,FALSE
NCT01701843,2012-10-31,2012-07-11,TRUE
NCT01701713,2009-06-30,2012-09-26,FALSE
NCT01693393,2010-03-31,2012-09-14,FALSE
NCT01662232,2012-08-31,2012-08-07,TRUE
NCT01647880,2013-07-31,2012-07-23,TRUE
NCT01634204,2011-09-30,2012-07-03,FALSE
NCT01625572,2012-07-31,2012-06-19,TRUE
NCT01622166,2011-08-31,2012-06-12,FALSE
NCT01605487,2012-06-30,2012-05-11,TRUE
NCT01601769,2011-04-30,2012-05-14,FALSE
NCT01601756,2011-09-30,2012-05-14,FALSE
NCT01600573,2012-05-31,2012-05-09,TRUE
NCT01593956,2012-03-31,2012-05-07,FALSE
NCT01586702,2011-09-30,2012-04-23,FALSE
NCT01586091,2011-02-28,2012-04-23,FALSE
NCT01582893,2012-04-30,2012-04-11,TRUE
NCT01582724,2012-12-31,2012-04-18,TRUE
NCT01580592,2012-04-30,2012-04-18,TRUE
NCT01578213,2011-11-09,2012-04-13,FALSE
NCT01566825,2008-08-31,2012-03-27,FALSE
NCT01541579,2012-07-31,2012-02-21,TRUE
NCT01540383,2012-04-30,2012-02-06,TRUE
NCT01538355,2011-12-31,2012-02-15,FALSE
NCT01532453,2010-11-30,2012-02-09,FALSE
NCT01530802,2007-01-31,2010-11-01,FALSE
NCT01525667,2012-11-30,2012-01-31,TRUE
NCT01523938,2012-03-31,2012-01-30,TRUE
NCT01503957,2012-01-31,2011-12-27,TRUE
NCT01503372,2011-11-30,2011-12-22,FALSE
NCT01498731,2011-04-30,2011-10-25,FALSE
NCT01481909,2010-09-30,2011-11-23,FALSE
NCT01471782,2012-01-31,2011-10-28,TRUE
NCT01468220,2012-01-31,2011-09-15,TRUE
NCT01466465,2011-10-31,2011-11-01,FALSE
NCT01458457,2011-05-31,2011-10-21,FALSE
NCT01456702,2014-10-31,2011-09-29,TRUE
NCT01449513,2011-09-30,2011-10-06,FALSE
NCT01444196,2009-08-31,2011-09-29,FALSE
NCT01440062,2011-12-31,2011-09-19,TRUE
NCT01418742,2011-08-31,2011-08-03,TRUE
NCT01417312,2011-07-31,2011-08-15,FALSE
NCT01413243,2012-09-30,2011-08-08,TRUE
NCT01402739,2011-08-31,2011-07-25,TRUE
NCT01390350,2011-07-31,2011-07-07,TRUE
NCT01388621,2011-10-31,2011-05-17,TRUE
NCT01382862,2011-05-31,2011-06-21,FALSE
NCT01374789,2010-07-31,2011-03-30,FALSE
NCT01370044,2012-08-31,2011-05-20,TRUE
NCT01357694,2011-05-31,2011-05-18,TRUE
NCT01357681,2011-09-30,2011-05-19,TRUE
NCT01349790,2011-10-31,2011-05-05,TRUE
NCT01349400,2011-11-30,2011-05-05,TRUE
NCT01347567,2011-04-30,2011-05-03,FALSE
NCT01330901,2011-10-31,2011-04-05,TRUE
NCT01328210,2008-07-31,2011-03-30,FALSE
NCT01319370,2010-11-30,2011-03-18,FALSE
NCT01306552,2010-10-31,2011-03-01,FALSE
NCT01303588,2011-05-31,2011-02-24,TRUE
NCT01286610,2011-02-28,2011-01-28,TRUE
NCT01278537,2011-02-28,2011-01-18,TRUE
NCT01277315,2011-02-28,2011-01-13,TRUE
NCT01274702,2010-05-31,2011-01-10,FALSE
NCT01272050,2011-01-06,2011-01-06,TRUE
NCT01271595,2009-08-31,2010-12-23,FALSE
NCT01271075,2010-09-30,2010-12-30,FALSE
NCT01266655,2011-02-28,2010-12-23,TRUE
NCT01264549,2010-12-31,2010-12-21,TRUE
NCT01263990,2010-09-30,2010-12-14,FALSE
NCT01263977,2010-12-31,2010-12-20,TRUE
NCT01259830,2011-03-31,2010-12-13,TRUE
NCT01258257,2011-01-31,2010-12-09,TRUE
NCT01234662,2010-11-30,2010-11-03,TRUE
NCT01225133,2010-10-31,2010-10-06,TRUE
NCT01221779,2011-01-31,2010-10-13,TRUE
NCT01219244,2010-08-31,2010-10-12,FALSE
NCT01219231,2010-08-31,2010-10-12,FALSE
NCT01218165,2010-05-31,2010-10-08,FALSE
NCT01200784,2010-08-31,2010-09-10,FALSE
NCT01199133,2009-10-31,2010-09-09,FALSE
NCT01187797,2010-08-31,2010-08-09,TRUE
NCT01184430,2013-08-31,2010-08-17,TRUE
NCT01183767,2010-12-30,2010-08-17,TRUE
NCT01181401,2010-08-31,2010-08-12,TRUE
NCT01179971,2008-12-31,2010-08-04,FALSE
NCT01179789,2009-10-31,2010-08-05,FALSE
NCT01178255,2010-08-31,2010-08-09,TRUE
NCT01176110,2010-07-31,2010-07-29,TRUE
NCT01170949,2008-09-30,2010-01-12,FALSE
NCT01170936,2010-07-31,2010-07-26,TRUE
NCT01170052,2010-05-31,2010-07-14,FALSE
NCT01165970,2009-01-31,2010-06-30,FALSE
NCT01157962,2010-01-31,2010-06-22,FALSE
NCT01148173,2007-10-31,2010-06-21,FALSE
NCT01144429,2010-06-30,2010-06-10,TRUE
NCT01143233,2010-04-30,2010-06-11,FALSE
NCT01122693,2010-01-31,2010-05-10,FALSE
NCT01117649,2010-05-31,2010-04-28,TRUE
NCT01117597,2010-04-30,2010-05-04,FALSE
NCT01117519,2010-05-31,2010-05-03,TRUE
