doi,year,pmid,oa_indicator,oa_status
10.1002/gcc.22480,2017,28639280,NA,closed
10.1002/glia.22955,2016,26683584,0,closed
10.1002/glia.22970,2016,26875694,0,closed
10.1002/glia.22994,2016,27143298,0,closed
10.1002/glia.23097,2017,27862351,0,closed
10.1002/glia.23128,2017,28230278,0,closed
10.1002/hbm.23093,2016,26859310,0,green
10.1002/hbm.23148,2016,26915535,0,green
10.1002/hbm.23169,2016,26991156,0,green
10.1002/hbm.23200,2016,27041212,0,green
10.1002/hbm.23215,2016,27120982,"Green Published, Other Gold",hybrid
10.1002/hbm.23292,2016,27453465,"Green Published, Other Gold",hybrid
10.1002/hbm.23327,2016,27511061,0,green
10.1002/hbm.23366,2017,27647660,0,green
10.1002/hbm.23433,2017,27726253,0,green
10.1002/hbm.23443,2017,27767244,0,green
10.1002/hbm.23469,2017,27859982,0,bronze
10.1002/hbm.23480,2017,28097738,0,green
10.1002/hbm.23506,2017,28054725,0,green
10.1002/hbm.23563,2017,28317230,0,green
10.1002/hbm.23594,2017,28390148,0,green
10.1002/hbm.23607,2017,28429498,0,green
10.1002/hbm.23615,2017,28432780,0,green
10.1002/hbm.23722,2017,28703919,0,green
10.1002/hed.23943,2016,25521431,0,closed
10.1002/hep.29089,2017,28133767,Bronze,green
10.1002/hipo.22665,2016,27699900,0,closed
10.1002/hipo.22687,2017,27935155,0,closed
10.1002/hipo.22723,2017,28244171,0,closed
10.1002/hipo.22766,2017,28768057,0,green
10.1002/humu.22960,2016,26820108,0,closed
10.1002/humu.22997,2016,0,NA,bronze
10.1002/humu.23006,2016,27120253,"Green Published, Other Gold",hybrid
10.1002/humu.23268,2017,28581210,"Other Gold, Green Published",hybrid
10.1002/hup.2524,2016,26999510,0,closed
10.1002/hup.2568,2017,28120489,0,closed
10.1002/ijc.29683,2016,26178914,0,bronze
10.1002/ijc.29684,2016,26174627,Bronze,bronze
10.1002/ijc.29815,2016,26311224,0,closed
10.1002/ijc.29865,2016,26414866,Bronze,bronze
10.1002/ijc.30123,2016,27038059,0,bronze
10.1002/ijc.30212,2016,27244597,Bronze,closed
10.1002/ijc.30444,2017,27668411,0,closed
10.1002/ijc.30723,2017,28380668,0,bronze
10.1002/ijc.30761,2017,28470689,Bronze,bronze
10.1002/ijc.30770,2017,28480996,0,bronze
10.1002/ijc.30808,2017,28560858,Bronze,bronze
10.1002/ijc.31009,2017,28833076,"Green Published, Bronze",bronze
10.1002/ijgo.12078,2017,28099691,0,closed
10.1002/jbio.201500141,2016,26333062,0,closed
10.1002/jbio.201500189,2016,26349849,0,closed
10.1002/jbio.201600066,2017,28133923,0,closed
10.1002/jbm.a.36131,2017,28571113,"Other Gold, Green Published",hybrid
