nct_id,completion_date,results_first_submitted_date,days_compl_to_summary,summary_result_12_month,summary_result_24_month,study_type,overall_status
NCT01525667,2015-06-30,2015-01-01,-180,TRUE,TRUE,Interventional,Completed
NCT01523938,2016-07-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01520766,2011-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01503957,2012-09-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01503372,2017-12-14,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01498731,2013-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01481909,2011-11-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01471782,2016-05-31,2016-09-23,115,TRUE,TRUE,Interventional,Completed
NCT01468220,2018-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01466465,2015-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01458548,2011-10-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01458457,2013-07-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01456702,2016-03-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01449513,2012-05-31,2013-10-08,495,FALSE,TRUE,Interventional,Completed
NCT01444196,2010-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01440062,2017-06-30,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01418742,2013-05-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01417312,2013-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01413243,2017-06-30,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01402739,2015-06-30,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01390350,2018-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01388621,2015-07-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01382862,2013-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01374789,2012-03-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01370044,2015-06-30,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01357694,2014-09-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01357681,2015-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01349790,2013-07-31,2017-03-22,1330,FALSE,FALSE,Interventional,Completed
NCT01347567,2014-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01330901,2013-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01328210,2009-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01319370,2013-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01306552,2013-08-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01303588,2012-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01289743,2012-05-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01289730,2012-05-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01286610,2012-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01278537,2014-02-28,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01274702,2013-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01271595,2011-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01271075,2011-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01266655,2014-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01264549,2014-10-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01263990,2013-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01263977,2014-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01259830,2014-04-30,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01258257,2016-09-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01234662,2012-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
